hotel_name,class_rating,rating
329 East Apartment #232459 Apts,,
329 East Apartment #232399 Apts,,
337 East Apartment #232455 Apts,,
Studio Apartment - United Nations Plaza,Good,7.9
337 East Apartment #232479 Apts,,
East 94th Apartment #232466 Apts,,
Chelsea Terrace II,,
Two-Bedroom Upper E Apartment #2,,
335 East Apartment #232444 Apts,,
One Bedroom Apartment - Allen Street # 28,Good,7.7
335 East Apartment #232477 Apts,,
Hamilton Row,,
East 81 Studio #232468 Apts,,
Two-Bedroom Eleg Apartment #2,,
Mildred At the Park,Awesome,9.2
Ritz Suites at Times Square,Very Good,8.3
329 East Apartment #232474 Apts,,
The Marc Suites at Times Square,Excellent,8.7
Gorgeous 2 Beds Apt in Times Square,,
"Perfect 3 BR, Midtown East, Doorman Apt",Good,7.5
East 81 Apartment #232473 Apts,,
3/2 Columbus Circle #3,,
Two-Bedroom East Street Apartment #2,,
250W50 Midtown West,,
Luxury Three Bedroom Apartment on Park Ave & 31st Street - Midtown East,Good,7.3
Charming West Village Apartment,,
Global Luxury Suites at Renwick,,
Chelsea Art Suites,Good,7.1
Two-Bedroom Upper Apartment #2,,
Luxury 2 Bedrooms Apartment Sutton Place,,
Loft 109,Good,7.2
337 East Apartment #232467 Apts,,
Hoffman Place,,
Apartment in Hell's Kitchen,Good,7.4
Hotel Giraffe by Library Hotel Collection,Awesome,9.4
East 81 Street Studio #232465 Home,,
339 East Studio #232484 Apts,,
Hip & Trendy Apartments near Times Square - NYC,Good,7.0
Hell's Kitchen Two Bedroom Apt,,
Studio-Studio GaRoaden Apartment,,
Tribeca Top Deluxe Apartment,,
329 East Apartment #232463 Apts,,
Greenwich Street III,,
Two-Bedroom on Upper East Side,,
Candy Hill Harlem,Good,7.5
Bright Airy Prime Midtown w/Elvator,,
NobleDEN Hotel,Awesome,9.1
Richards Place,,
Prime Location Times Square 2 Bedrooms,,
Stylish Upper East Side 2 bed 2 bath,Good,7.6
East 81 Studio #232476 Apts,,
116 John Street Apartments,,
Two-Bedroom Apartment on 82nd Street,,
Pasadena Vacation Rental,,
Seafarers International House,Good,7.4
Midtown East 1 Cozy Bedroom Apartment,,
Gramercy Superior Apartments,Review score,6.3
Cassa 45 by BridgeStreet,,
NYC PrivateRoom Subway1bk,,
One Bedroom Apartment - Mott Street #16,Good,7.4
Embassy Suites By Hilton New York Midtown Manhattan,Awesome,9.2
12th Street Apartment,,
2254 5th Avenue Apartment,,
Beauty Near Times Square,Very Good,8.0
The Smyth,Very Good,8.5
337 East Apartment #232415 Apts,,
Gramercy Park Apartments,Good,7.2
The Harlem Flophouse,,
Gorgeous 4 Bedroom Loft In Midtown,,
Large Bright 2bed/2bath in Prime Upper East Side,,
Times Square Studio,Very Good,8.2
East Side 3 bedroom 2 bathroom (7),Good,7.5
Midtown East Two Bedroom Apartment,,
Interfaith Retreats,Good,7.8
Global Luxury Suites at The Eugene,,
2 Bed Penthouse in Heart of NYC,,
East Village Oasis- E9th,,
East 7th Street II,,
Four Bedroom Apartment - NYC,Excellent,8.8
"Amazing LOFT in the East Village, close to the park",,
8 Bedroom Midtown Townhouse- Sleeps 16,,
U.S. Pacific Hotel,Review score,6.1
414 Hotel,Awesome,9.3
Chelsea Studio,Exceptional,9.6
East 94 Apartment #232470 Apts,,
West 17th Apartment 3,,
Beautiful Loft On the Upper East Side,,
"Ultra Luxurious Large One Bedroom Appartment, Midtown",,
Midtown Luxury High Rise Condo,,
Midtown East Apartments,Good,7.8
Places4stay Midtown South Comfort,,
The Maxwell,,
Upper EaStreetStudio,,
Madison Ave. & 92nd Street Apt 4PH,,
Two bridges apartment,,
Canal Loft Hotel,Review score,6.3
777 Sixth Avenue,,
Times Square Amazing 2 Bedroom,Review score,5.3
Three-Bedroom Upper EAST,,
Studio Apartment - 39th Street,Excellent,8.9
Places4stay Times Square Luxury Apartment,,
Midtown South One Bedroom Apartments,,
Hilton Garden Inn New York/Midtown Park Avenue,Excellent,8.6
NYC Townhouse Apartment,Excellent,8.6
Places4stay Central Park Comfort,,
Three-Bedroom Apartment with Two Bathrooms - East 55th Street,Good,7.7
Studio Apartment - East 31st Street #30,Good,7.3
Places4stay Times Square Luxury Studio,,
"Gatsby Hotel, An Ascend Hotel Collection Member",Very Good,8.0
Great Cozy Apt,Review score,5.8
Amazing 2Bed/2Bath in Prime East Village Manhattan,,
Best Location 27 St. Mid-town East,,
Furnished Quarters at 777 Sixth Avenue,,
Cozy Room in New York City,,
NYC Townhouse,,
Upper West Side Two-Bedroom,,
Beautiful Midtown East 1 Bedroom apartment,,
Times Square 2 Bedroom Apartment,,
Bogart Street,,
Midtown East Large Apartments,Review score,6.9
West 17th Street Apartment 2,,
Lovely Two Bedroom Apt,Review score,6.9
#1Midtown Manhattan Loft Apartment,Good,7.5
Hamilton Heights Beauty,Review score,5.9
Washington Square Hotel,Excellent,8.6
Places4stay United Nations Comfort,,
onefinestay - Tribeca private homes,,
Greenwich Street Townhouse,,
The James New York - NoMad,Very Good,8.2
Cozy 1Bed/1Bath Close to Central Park,,
Central Affordable Three Bedroom Apartment,Review score,6.8
Three Bedroom Apartment - Henry Street #41,Good,7.6
Luxury One Bedroom Apartment - Garment District,Good,7.1
Greenwich Village Apartments,,
Places4stay Gramercy Park Comfort II,,
NOVO151,,
Fantastic 3 Bedrm Apt 135 St,Review score,6.8
East Village Properties,Good,7.8
Union Square Best Location 2 Bedroom Apt,,
Places4stay Little Italy Comfort,,
Manhattan Studio in Hells Kitchen,Excellent,8.9
Comfort Inn Times Square West,Very Good,8.1
Tier31 by ABRIKIM,Very Good,8.0
Places4stay Midtown East Luxury Duplex,,
Mott Street Apt 3B,,
New York One,,
One Bedroom Apartment in Hell's Kitchen,,
Beautiful Midtown East 1 Bedroom apartment,,
Fitzpatrick Manhattan,Excellent,8.7
Centria,,
Madison Avenue Luxury Two Bedroom Apartments Next to Times Square,Review score,6.9
Places4stay Upper West Side Luxury,,
East Side 3 bed 2 bath (6),Good,7.1
Modern Studio Apartment - Midtown East L,Good,7.9
Lita's New York Apartments,Very Good,8.5
Hampton Inn Madison Square Garden,Excellent,8.6
West Village Penthouse,,
Modern Prewar Midtown 2 Bedroom Apt.,,
Best Western Plus Hospitality House Suites,Very Good,8.4
West 46th Street Apt 4C/4RW,,
Two-Bedroom Midtown Apartment,,
The St. Nicolas in Harlem,,
Two Bedroom Apartment - Madison Avenue,Good,7.1
Ivy Tower Suites in Times Square,Excellent,8.8
Luxury Apartments Greenwich Village,Review score,5.8
The Suite New York,,
Sugar Hill Suites,Review score,6.4
Studio Apartment - Financial District,Review score,6.5
Modern One Bedroom Apartment - Garment District,,
Upper East Side Apartment,,
Spacious studio in an elevator doorman building,,
onefinestay - NoHo Private Homes,,
Holiday Inn Express - Wall Street,Very Good,8.1
NYC Best apartment near the UN,Review score,5.5
Apartments Lincoln Center,Very Good,8.0
The Nomad Suites,Good,7.4
Colonial House Inn,Very Good,8.2
NY Away - Central Park UWS 2-Bedroom,Review score,6.6
Luxury Studio Apartment - Garment District,,
The Pearl Hotel,Excellent,8.9
Apartment Midtown Garden,,
East 14th Street Apt 5A,,
3 West Club,Very Good,8.2
Places4stay Greenwich Comfort Rooftop,,
The Broome,Awesome,9.2
Apartment Close to Time Square,Very Good,8.5
W New York - Times Square,Good,7.9
Apartment 2BD/ 2BA E 7th St,,
Places4stay Times Square Luxury,,
Apartment Clayton.3,,
Hotel 17 - Extended Stay,Good,7.9
Interfaith East Village,Good,7.9
Renovated Midtown East Apartments,Review score,6.4
Luxury 2B/1B UWS GEM,Good,7.1
Rostel,Review score,6.3
Charles Street,,
East Side 3 Bedroom and 2 Bathroom Apartment (3),Good,7.8
Places4stay Times Square Comfort Rooftop,,
NYC Midtown Suites,Review score,6.6
45th Street Condo #228767,,
East Street Apartment #232471 Apts,,
Comfort Inn Lower East Side,Good,7.9
"The Ritz-Carlton New York, Battery Park Hotel",Excellent,8.6
Global Luxury Suites at Olympia House,,
Apartment Chelsea,,
East Village Amazing 2 Bedroom,Good,7.9
Renaissance New York Midtown Hotel,Awesome,9.0
East 7th Street Apt 1F,,
Apartment Soho Elizabeth 1,,
Cozy Two Bedrooms near Times Sq - NYC,Review score,4.8
Bridgestreet at the Chrystie,,
Large One Bedroom in NYC,,
Jun New York Mid Town III,Excellent,8.9
Superior Midtown East Apartments,Review score,5.9
Prime West Village Vacation Apartment,Good,7.4
Three Bedroom Apartment - West 148th Street,Very Good,8.1
The Wagner Hotel,,
Holiday Inn Express Manhattan Midtown West,Good,7.8
Comfort Inn Midtown West,Good,7.7
Recently Renovated 3 Bedroom Apartment Manhattan #45,,
Jun New York Mid Town I,Excellent,8.8
Soho Grand Hotel,Very Good,8.5
Yorkville Apartments -Upper East Side,Review score,6.4
Central Park Apartment,Excellent,8.9
Zen Artist 2Bed/1Bath in Prime Upper East Side!,,
45th Street Condo #226384,,
NYC Apartment For Rent,,
Luxurious Three Bedroom Apartment,Review score,6.9
Midtown East Next to Times Square,Review score,6.3
Two Bedroom Chelsea/West Village Apartment,,
Charming Loft in Lower East Side,,
Best Location NYC in Union Square - Midtown East,Review score,6.8
Renaissance New York Hotel 57,Good,7.9
Studio Times Square,,
3rd Avenue Apartment #232457 Apts,,
Symphony House,,
Sago Hotel,Excellent,8.7
Shared Two Bedroom Apartment - Harlemville,Good,7.0
The Quin,Excellent,8.8
Highline West Village,,
Midtown Lexington Studio Apartment,,
Cassa Suites,,
Apartment Best Location in New York,Good,7.5
New York Apartments,Review score,6.7
Places4stay Upper West Side Luxury,,
"The Renwick Hotel New York City, Curio Collection by Hilton",Excellent,8.6
Domenico Vacca Luxury Residences,,
Eclectic 2Bedroom Art Studio,,
Comfortable Two Bedroom Apartment in East Village,,
Manhattan Bowery Lodge,Review score,5.5
45th Street Condo #228762,,
45th Street Condo #226519,,
Great Location Midtown East 35th Street and Third Ave,Review score,6.9
Hostel - Chrystie Street,Review score,6.1
Apartment Clayton.1,,
Luxurious Central Park South 2 Bedroom Apartment,,
The International Cozy Inn,Good,7.4
Murray Hill 2 Cozy Bedroom Apt,,
Beautiful Lexington Apartment,,
Three Bedroom Apartment with City View - Lincoln Center,,
Incentra Village Hotel,Good,7.8
The Park Ave North,Good,7.7
Apartment Clayton.5,,
Mott Street Apt 2D,,
Renovated Studio Loft Downtown NYC #43,Good,7.2
Holiday Inn Wall Street,Good,7.9
Manhattan Guest House,Good,7.6
The Ludlow Hotel,Awesome,9.0
Apartment Clayton.4,,
Casablanca Hotel by Library Hotel Collection,Awesome,9.4
West 49th Apartment,,
Apartment Clayton.2,,
PermaGO FiDi,Very Good,8.2
Prince Street Apt 9,,
Four Seasons Hotel New York,Excellent,8.7
Lux Studio West Village 30Days Min,,
Aparthotel Manhattan Residence.24,,
Aparthotel Manhattan Residence.22,,
Clarion Hotel Park Avenue,Good,7.6
Studio on UES,,
Aparthotel Manhattan Residence.1,,
Hotel St. James,Good,7.9
Upper East One Bedroom Apartment,Review score,6.7
Chelsea Inn,Good,7.3
Apartment Douglas.2,,
Spacious 2 Bedrooms Apartment - Times Square,Review score,5.6
Manhattan Lodging,Good,7.3
"Marriott Vacation Club Pulse, New York City",Very Good,8.5
West 57th Street by Hilton Club,Excellent,8.9
30 Park Avenue,,
Stylish Lexington Pied-à-terre,,
The Premier Times Square by Millennium,Very Good,8.3
Fitzpatrick Grand Central,Excellent,8.9
Aparthotel Manhattan Residence.23,,
Hotel Beacon,Excellent,8.8
Chelsea Suites,,
Hotel Americano,Very Good,8.2
Times Square Suites - NYC,Review score,6.7
Apartment Soho Elizabeth 3,,
Chic 2 Bedrooms near Times Square,Review score,4.5
Apartment Douglas.1,,
Global Luxury Suites at 777 6th Avenue,,
Hotel Mimosa,Very Good,8.2
Aparthotel Manhattan Residence.2,,
Aloft Harlem,Very Good,8.4
Amazing 2 Bedrooms at Theater District,Review score,5.6
Lowell Hotel,Awesome,9.1
Manhattan Broadway Hotel,Review score,6.3
Loft with Central Park View,Excellent,8.6
Inn New York City,Awesome,9.3
Executive Class at MTS Hotel,Good,7.3
Courtyard by Marriott New York Manhattan / Soho,Very Good,8.5
Park Lane Hotel - A Central Park Hotel,Good,7.7
Courtyard by Marriott New York Manhattan/Herald Square,Very Good,8.5
Global Luxury Suites at Bridge Tower Place,,
Courtyard by Marriott New York Manhattan/ Fifth Avenue,Good,7.9
TEN15NYC,Very Good,8.3
Hudson River Hotel,Review score,6.9
20 Exchange Place,,
